Status,Updated SP,Sales Price,Cost Price,Qty,Model Name,Processor,RAM,Type - Slots,SSD,Add HDD,GPU,Display Size,Battery Capacity/Health,Charger,Features,Comments
Sold,,81000,55000,1,Probook 440 G8,i5-1135G7 @2.40GHz,8-DDR5,Ext - 1/2,256-NVME,N/A,Iris Xe Graphics,"14"" FHD-2k",45Wh-3800mAh-71%,Blue Pin,FP-BL,Missing key
Available,,81200,60000,1,250 G7,i5-1035G1 @1.00GHz,8-DDR4,Ext - 1/2,256-NVME,Caddy,UHD620-Shared,"15.6"" UHD",41Wh-3600mAh-98%,Blue Pin,,
Available,,80500,60000,1,Elitebook 1040 G4,i7-7500U @2.70GHz,8-DDR4,Fix,256-NVME,N/A,UHD620-Shared,"14"" FHD-2k",62Wh-5400mAh-80%,C-Type,FL-FP-BL,Missing key
Available,,75500,62000,1,Elitebook 1030 G4 x360,i5-8265U @1.60GHz,8-DDR4,Fix,256-NVME,N/A,UHD620-Shared,"13.3"" FHD-1k",56Wh-7300mAh-80%,C-Type,,LCD Line
Available,,61500,54000,1,Elitebook 840 G4R,i5-8250U @1.60GHz,8-DDR4,Ext - 1/2,256-NVME,HDD Slot,UHD620-Shared,"14"" FHD",51Wh-4500mAh-80%,Blue Pin,FP-BL,
Available,,63400,40000,1,Spectre x360,i5-6200U @2.30GHz,8-DDR4,Fix,256-NVME,N/A,HD520-Shared,"13.3"" FHD-2k",57Wh-5000mAh-100%,Blue Pin,,Battery Replaced
Available,,41800,0,1,250 G4,i5-6200U @2.30GHz,8-DDR4,Ext - 1/2,256-SATA,Caddy,HD520-Shared,"15.6"" UHD",41Wh-2800mAh-90%,Blue Pin,,Platform Crack + Battery Replaced
,,,82000,1,Elitebook 850 G7,i7-10710U-6c-12p,8,Ext - 1/2,256-NVME,N/A,Nvidia GeForce MX250-2GB,"15.6"" UHD-2k",N/A,Blue Pin,FL-FP-BL,Minor Dent onBack
,130000,,,1,Elitebook 1040 G8,i7-1185g7 @3.00GHz,32-4300,Fix,512 gen3-SamE990,N/A,Iris Xe Graphics,"14""UHD-4k",100%,C-Type,FL-FP-BL-PrivScr,10/10
